src:START_ID	dst:END_ID	type:TYPE	verb
0	1	REL	`reduced`
2	0	REL	`was revealed`
3	0	REL	`was revealed`
4	0	REL	`was revealed`
5	0	REL	`was revealed`
1	0	REL	`was revealed`
6	0	REL	`was revealed`
7	0	REL	`was revealed`
8	0	REL	`was revealed`
9	0	REL	`was revealed`
10	0	REL	`was revealed`
11	0	REL	`was revealed`
12	0	REL	`was revealed`
1	13	REL	`was downregulated`
1	14	REL	`was downregulated`
1	0	REL	`was downregulated`
15	16	REL	`regulated`
17	16	REL	`regulated`
1	16	REL	`regulated`
15	18	REL	`regulated; increasing`
17	18	REL	`regulated; increasing`
1	18	REL	`regulated; increasing`
1	1	REL	`was found to enhance`
1	19	REL	`was found to enhance`
1	20	REL	`was found to enhance`
20	1	REL	`interacted`
20	21	REL	`interacted`
20	22	REL	`interacted`
20	23	REL	`interacted`
24	25	REL	`was caused`
26	25	REL	`was caused`
1	27	REL	`reduced`
26	1	REL	`can affect`
14	1	REL	`regulate`
28	1	REL	`regulate`
13	1	REL	`regulate`
29	1	REL	`regulate`
30	1	REL	`regulate`
31	1	REL	`regulate`
32	1	REL	`regulate`
33	1	REL	`regulate`
1	34	REL	`revealed`
1	35	REL	`revealed`
1	36	REL	`revealed`
1	37	REL	`revealed`
1	38	REL	`revealed`
1	39	REL	`revealed`
1	40	REL	`contains`
41	0	REL	`was displayed`
42	42	REL	`were found`
1	0	REL	`affect`
1	43	REL	`affect`
18	26	REL	`may affect`
18	43	REL	`may affect`
18	25	REL	`may affect`
1	18	REL	`expressed`
1	0	REL	`expressed`
1	44	REL	`upregulated`
1	25	REL	`upregulated`
1	45	REL	`upregulated`
46	43	REL	`cause; can affect`
14	1	REL	`can downregulate`
14	0	REL	`can downregulate`
47	1	REL	`can downregulate`
47	0	REL	`can downregulate`
48	1	REL	`can downregulate`
48	0	REL	`can downregulate`
49	1	REL	`can downregulate`
49	0	REL	`can downregulate`
50	51	REL	`increased`
50	52	REL	`increased`
50	53	REL	`increased`
50	54	REL	`increased`
55	51	REL	`increased`
55	52	REL	`increased`
55	53	REL	`increased`
55	54	REL	`increased`
55	56	REL	`have been found to enhance`
55	57	REL	`have been found to enhance`
50	56	REL	`have been found to enhance`
50	57	REL	`have been found to enhance`
55	45	REL	`increased`
55	58	REL	`enhanced`
50	58	REL	`increased`
50	59	REL	`increased; increasing`
50	60	REL	`increased; increasing`
50	61	REL	`increased; increasing`
56	50	REL	`releasing`
56	62	REL	`releasing`
63	50	REL	`releasing`
63	62	REL	`releasing`
57	50	REL	`releasing`
57	62	REL	`releasing`
64	50	REL	`released`
64	55	REL	`released`
65	66	REL	`containing`
67	68	REL	`increased`
67	69	REL	`increased`
70	68	REL	`increased`
70	71	REL	`increased`
72	64	REL	`would not produce`
50	64	REL	`would not produce`
50	50	REL	`decreased`
50	62	REL	`decreased`
62	50	REL	`decreased`
62	62	REL	`decreased`
73	74	REL	`were released`
75	73	REL	`released`
76	77	REL	`increased`
68	52	REL	`increased`
68	54	REL	`increased`
68	78	REL	`increased`
68	79	REL	`increased`
50	57	REL	`can enhance`
72	57	REL	`can enhance`
80	81	REL	`expressed`
52	68	REL	`were found`
52	82	REL	`were found`
54	68	REL	`were found`
54	82	REL	`were found`
78	68	REL	`were found`
78	82	REL	`were found`
79	68	REL	`were found`
79	82	REL	`were found`
53	68	REL	`were found`
53	82	REL	`were found`
45	83	REL	`may cause`
84	83	REL	`may cause`
85	86	REL	`containing`
50	83	REL	`reduces`
72	83	REL	`reduces`
50	87	REL	`reduces; increasing`
72	87	REL	`reduces; increasing`
50	56	REL	`triggered`
50	57	REL	`triggered`
72	56	REL	`triggered`
72	57	REL	`triggered`
56	56	REL	`should induce`
56	88	REL	`should induce; enhancing; increasing`
89	80	REL	`reducing`
89	90	REL	`reducing`
89	91	REL	`reducing`
92	80	REL	`reducing`
92	90	REL	`reducing`
92	91	REL	`reducing`
80	80	REL	`reducing`
80	90	REL	`reducing`
80	91	REL	`reducing`
52	93	REL	`could enhance`
50	57	REL	`induced`
72	57	REL	`induced`
50	53	REL	`enhanced`
72	53	REL	`enhanced`
50	51	REL	`enhanced; regulating`
72	51	REL	`enhanced; regulating`
94	56	REL	`enhancing`
95	1	REL	`Reveals`
95	45	REL	`Reveals`
95	0	REL	`Reveals`
1	18	REL	`was associated`
1	96	REL	`was associated`
1	97	REL	`has been found to induce`
1	98	REL	`has been found to induce`
